employee_id,first_name,last_name,email,phone,gender,date_of_birth,department,job_title,salary,joining_date,city,state,country,employement_status
1,Reginauld,Geale,rgeale0@epa.gov,+375 960 280 7561,Male,02-05-2026,Business Development,VP Sales,886914,06-07-2024,Kryvichy,,Belarus,
2,Morley,Waliszek,mwaliszek1@boston.com,+7 805 217 5797,Male,07-05-2025,Accounting,Computer Systems Analyst I,288671,13-06-2024,Tolbazy,,Russia,
3,Arvie,Haile,ahaile2@is.gd,+380 101 756 0369,Male,21-06-2025,Services,Senior Sales Associate,237394,19-04-2025,Rakhiv,,Ukraine,
4,Bing,Hurdle,bhurdle3@spiegel.de,+685 175 510 7438,Male,15-04-2026,Human Resources,Staff Accountant III,330437,08-09-2024,Safotu,,Samoa,
5,Chevalier,Nield,cnield4@t.co,+86 758 356 8549,Male,28-01-2026,Services,VP Product Management,193254,23-05-2026,Gonghe,,China,
6,Willy,Caveney,wcaveney5@state.gov,+7 223 398 9432,Female,19-03-2026,Accounting,Structural Engineer,745810,18-11-2025,Lashma,,Russia,
7,Gennifer,Hardstaff,ghardstaff6@hostgator.com,+237 427 814 1074,Female,20-06-2026,Human Resources,General Manager,920490,01-04-2025,Ndom,,Cameroon,
8,Kassey,Bass,kbass7@i2i.jp,+880 415 515 7976,Female,11-03-2025,Accounting,Community Outreach Specialist,831912,18-09-2024,Bhāndāria,,Bangladesh,
9,Ruth,Petigrew,rpetigrew8@etsy.com,+268 888 157 5873,Female,18-07-2025,Human Resources,Web Designer III,873940,12-07-2024,Bhunya,,Swaziland,
10,Dov,Keyworth,dkeyworth9@mit.edu,+48 750 760 6706,Male,17-04-2026,Services,Database Administrator IV,318161,27-11-2025,Niwiska,,Poland,
11,Izaak,Height,iheighta@seesaa.net,+86 296 338 8976,Male,26-11-2025,Accounting,Community Outreach Specialist,278925,12-06-2025,Wutumeiren,,China,
12,Quintana,Corderoy,qcorderoyb@so-net.ne.jp,+387 560 115 7953,Genderqueer,28-06-2026,Training,Paralegal,781556,23-05-2025,Gračanica,,Bosnia and Herzegovina,
13,Berri,McAusland,bmcauslandc@altervista.org,+52 450 769 5816,Female,28-05-2025,Sales,Quality Control Specialist,566546,13-10-2025,San Francisco,Veracruz Llave,Mexico,
14,Karel,Ingliby,kinglibyd@salon.com,+62 685 822 9475,Male,26-04-2025,Support,Data Coordinator,570522,05-05-2026,Wongsorejo,,Indonesia,
15,Herschel,Molfino,hmolfinoe@google.pl,+55 733 388 5197,Male,03-06-2026,Services,Web Developer IV,243947,10-04-2026,Mascote,,Brazil,
16,Rozalin,Fields,rfieldsf@discuz.net,+63 651 883 5131,Female,01-03-2026,Human Resources,Sales Representative,559978,28-11-2024,Can-Avid,,Philippines,
17,Cly,Raubenheim,craubenheimg@blinklist.com,+57 560 223 1130,Male,22-04-2026,Business Development,Software Test Engineer III,447295,06-05-2025,Palmira,,Colombia,
18,Tamar,Harriday,tharridayh@bloomberg.com,+51 105 298 5230,Female,23-06-2025,Accounting,Environmental Tech,660109,26-09-2024,Santo Tomas,,Peru,
